plip,Smiles,h,enamine_id,enamine_searched
-0.1,O=C(N(C(C([N+]1(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(c(c(c(C(n2c(c(nc2[H])[H])[H])([H])[H])c1[H])[H])[H])[H],6,Z5121740640,False
-0.034482758620689655,[H]c1nc([H])c([C@]2(c3nc([H])c(C(F)(F)F)c([H])c3[H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]2([H])C3([H])[H])c([H])c1[H],6,,False
-0.03571428571428571,[H]C1=C(c2c([H])nc([H])c(OC([H])([H])[H])c2[H])C([H])([H])C([H])([H])[C@]1([H])c1c([H])nc([H])c([H])c1[H],6,,False
-0.20689655172413793,O=C(N([C@](C(C(O[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(c2c(c(c(Cl)c(c2o1)[H])[H])[H])[H],6,PV-003573219717,False
-0.10714285714285714,[H]OC(=O)C([H])=C([H])[C@]1([H])N([H])C(=O)O[C@@]1([H])c1c([H])nc([H])c([H])c1[H],6,,False
-0.06896551724137931,[H]c1nc(C([H])([H])n2c([H])nc([H])c2[H])c(-c2c([H])nc([H])c([H])c2[H])o1,6,,False
0.0,[H]c1nc([H])c(-n2c(-c3nc([H])c([H])c([H])c3C(F)(F)F)nn([H])c2=S)c([H])c1[H],6,,False
-0.03571428571428571,[H]c1nc([H])c(Oc2c([H])c(F)c([H])c(F)c2[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(C2=C(n3nc([H])c([H])c3[H])C([H])([H])OC2=O)c([H])c1[H],6,,False
-0.10344827586206896,Brc1c(c2c(c(nn2[H])[H])nc1N(C(c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])[H],6,PV-003023162706,False
-0.03333333333333333,[H]c1nc(C#C[C@@]2([H])C([H])([H])c3nn([H])c(-c4c([H])nc([H])c([H])c4[H])c3C2([H])[H])c([H])c([H])c1[H],6,,False
-0.07142857142857142,[H]c1nc([H])c([C@@]2([H])C([H])([H])[C@@]3([H])S[C@]([H])(C([H])([H])C3([H])[H])[C@]2([H])OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-0.03571428571428571,[H]c1nc([H])c(C(=S)SC2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-0.10344827586206896,C(c1c(c(c(c(c1C(OC(=O)N(C1(c2c(c(c(nc2[H])[H])[H])[H])C(C(C1([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],6,Z4278683253,False
