cnnaffinity,Smiles,h,enamine_id,enamine_searched
-6.22752,FC(F)(n1c(c(C(c2nc(C3(C(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c(n1)[H])[H])[H],6,PV-007032662975,False
-5.89951,c1(c(c(c(c2nn(c3c(c(c(nc3[H])[H])[H])[H])c(C(C(C(n3c(c(nc3[H])[H])[H])([H])[H])([H])[H])([H])[H])n2)c(c1[H])[H])[H])[H])[H],6,PV-006837056774,False
-5.9354,C([C@@]1(C([C@]1(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(C(C(c2nc(c(c(n2)[H])[H])[H])([H])[H])([H])[H])n1)[H])([H])[H])[H])([H])([H])[H],6,PV-006940842971,False
-5.877,C(c1nc(c(n1C(C(C(c1nc(c2c(c(c(c(c2[H])[H])[H])[H])[H])nn1c1c(c(c(nc1[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])([H])[H],6,PV-006718432402,False
-6.17554,c1(c(c(c(C(C(c2nc(C3(C(C43C(C4([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])nc1[H])[H])[H])[H],6,PV-006899015967,False
-6.22167,C(c1c(c(c(c2nn(c3c(c(c(nc3[H])[H])[H])[H])c(C(C(C(n3c(c(nc3C([H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])n2)c(c1[H])[H])[H])[H])([H])([H])[H],6,PV-006871943586,False
-6.25267,FC(F)(c1nc(C(c2nc(C3(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c(o1)[H])[H],6,PV-006980534961,False
-6.44093,FC(F)(c1nn(C(c2nc(C3(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H],6,PV-006812669335,False
-6.37847,FC(F)(n1c(c(c(C(c2nc(C3(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])n1)[H])[H])[H],6,PV-006963707350,False
-4.61786,[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(C([H])(F)F)C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
0.0,C(c1c(c(Cl)nc(c1C(c1nc([C@@]2(C([C@]2(C([H])([H])[H])[H])([H])[H])[H])nn1c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])[H])([H])([H])[H],6,PV-006752133406,False
-6.30036,O(C(C(c1c(c(c(c(c1Cl)[H])[H])[H])[H])([H])[H])(c1nc(C2(C(C32C(C3([H])[H])([H])[H])([H])[H])[H])nn1c1c(c(c(nc1[H])[H])[H])[H])[H])[H],6,PV-006960880041,False
-6.70482,C(c1c(c(c(c(n2nc(c3c(c(c(nc3[H])[H])[H])[H])nc2C(c2c(c(c(c(c2S(=O)C([H])([H])[H])[H])[H])[H])[H])([H])[H])c1[H])[H])[H])[H])([H])([H])[H],6,PV-004849002793,False
-5.9725,Fc1c(c(c(F)c(OC(c2nc(C3(C(C(C(O3)([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c1[H])[H])[H],6,PV-006886124803,False
-6.63501,Fc1c(c(c(OC(C(c2nc(C3(C(C43C(C4([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])c(F)c1[H])[H])[H],6,PV-007122347495,False
-6.32063,C(Oc1c(c(c(c(C(C(c2nc(C3(C(C43C(C4([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])c1F)[H])[H])[H])([H])([H])[H],6,PV-006785793102,False
-6.55345,Fc1c(c(c(F)c(SC(C(c2nc(C3(C(C(OC3([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])c1[H])[H])[H],6,PV-007110016284,False
0.0,C(S(=O)c1c(c(c(c(c1C(c1nc(c2c(c(c(nc2[H])[H])[H])[H])nn1c1c(c(c(c(c1[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],6,PV-005275468654,False
-6.76652,C(S(=O)c1c(c(c(c(c1C(c1nc(c2c(c(c(nc2[H])[H])[H])[H])nn1c1c(c(F)c(c(c1[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],6,PV-006177232206,False
0.0,Clc1c(C(c2nc(C3(C(C(OC3([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c(c(s1)[H])[H],6,PV-007064925709,False
-5.25461,[H]c1nc([H])c(N([H])C([H])([H])c2c([H])c([H])nc([H])c2[H])nc1-c1c([H])nc([H])c([H])c1[H],6,,False
-6.14615,c1(c(nc(c(n2nc(C3(C(C(C(O3)([H])[H])([H])[H])([H])[H])[H])nc2C(c2c(c(nc(c2[H])[H])[H])[H])([H])[H])c1[H])[H])[H])[H],6,PV-007145457638,False
-6.49749,C(c1c(c(c(F)c(C(c2nc(C3(C(C(C(O3)([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c1[H])[H])[H])([H])([H])[H],6,PV-006986023712,False
-6.31955,C(C(C([H])([H])[H])(C(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(C(C(c2c(F)c(c(c(c2F)[H])[H])[H])([H])[H])([H])[H])n1)([H])[H])[H])([H])([H])[H],6,PV-007127486056,False
0.0,C(c1c(c(c(n2nc(c3c(c(c(nc3[H])[H])[H])[H])nc2C(c2c(c(c(c(c2S(=O)C([H])([H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H])([H])([H])[H],6,PV-004351743907,False
-5.95415,C(c1c(c(c(C(c2nc(C3(C(C(C(O3)([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])s1)[H])[H])([H])([H])[H],6,PV-006932108737,False
-6.18797,C([C@@]1(C([C@]1(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(C(C(c2c(F)c(c(c(c2F)[H])[H])[H])([H])[H])([H])[H])n1)[H])([H])[H])[H])([H])([H])[H],6,PV-006794685702,False
-6.82611,C(S(=O)c1c(c(c(c(c1C(c1nc(c2c(c(c(nc2[H])[H])[H])[H])nn1c1c(c(c(F)c(c1[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],6,PV-004865055688,False
-5.83151,[H]c1nc([H])c(-c2c([H])c([H])c(=O)n(-c3c([H])c([H])c([H])c(OC(F)(F)F)c3[H])c2[H])c([H])c1[H],6,,False
-6.31639,C(c1c(nc(c(n2nc(c3c(c(c(nc3[H])[H])[H])[H])nc2C(c2nc(c(c(c2C([H])([H])[H])[H])[H])[H])([H])[H])c1[H])[H])[H])([H])([H])[H],6,PV-006786792971,False
