cnnaffinity,Smiles,h,fid
-4.51017,[H]c1nc([H])c(N([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,35211
-4.61101,[H]C#CC([H])([H])O[C@]1([H])N(c2c([H])nc([H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H],6,36278
-4.54329,[H]c1nc([H])c(C(=O)Oc2nc([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],6,45429
-4.45918,[H]c1nc([H])c(-c2nnc(N([H])S(=O)(=O)C([H])([H])[H])o2)c([H])c1[H],6,7474
-3.82549,[H]O[C@]1([H])C([H])([H])N(SC([H])([H])c2c([H])nc([H])c([H])c2[H])C([H])([H])C1([H])[H],6,22123
-4.61077,[H]c1nc([H])c(N=NC([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,39751
-0.0,[H]c1nc([H])c([C@]2([H])N(c3c([H])c([H])c([H])c4nc([H])c([H])c([H])c34)C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,43479
-4.49475,[H]C(=C([H])n1c(C([H])([H])[H])nc([H])c1[H])c1c([H])nc([H])c([H])c1[H],6,24726
-3.39493,[H]C([H])=C([H])C([H])([H])S(=O)(=O)c1c([H])nc([H])c([H])c1[H],6,21108
-4.68397,[H]c1nc([H])c(-c2nc(-c3nn([H])c([H])c3[H])sc2[H])c([H])c1[H],6,17552
-4.40522,[H]c1nc([H])c(-c2c([H])c([H])c(C(=O)C(F)(F)F)c([H])c2[H])c([H])c1[H],6,37721
-4.85115,[H]c1nc([H])c(S(=O)(=O)N(c2c([H])nn(C([H])([H])[H])c2[H])C([H])([H])[H])c([H])c1[H],6,9168
-5.11425,[H]c1nc([H])c(S(=O)(=O)N([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,8809
-4.15861,[H]c1nc([H])c(C([H])([H])N([H])c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c1[H],6,3212
