plip,Smiles,h,enamine_id,enamine_searched
-0.034482758620689655,C(c1c(C(=C(C(C(O[H])([H])[H])([H])[H])[H])[H])sc(c2c(c(c(nc2[H])[H])[H])[H])n1)([H])([H])[H],6,PV-003824820318,False
-0.07142857142857142,O=C(N(c1c(c(c2nc(S[H])oc2c1[H])[H])[H])[H])c1c(c(c(nc1[H])[H])[H])[H],6,Z1430587027,False
-0.1,C(c1c(c(c(c(c1n1c(c(c(C(C([H])([H])[H])([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])n1)[H])[H])[H])[H])[H])[H])([H])([H])[H],6,Z5111186572,False
-0.03571428571428571,[H]c1nc(-c2c([H])nc([H])c([H])c2[H])nc(C([H])([H])c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])n1,6,,False
-0.10714285714285714,O=C(N(C(c1c(c(c(nc1[H])[H])[H])[H])(C1(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])c1c(n(c2c(c(c(c(c2Br)[H])[H])[H])[H])nn1)[H],6,Z1101884296,False
-0.03571428571428571,[H]c1nc([H])c(N2C([H])([H])[C@]3([H])N(C([H])([H])c4c([H])c([H])c([H])c([H])c4OC([H])([H])[H])C([H])([H])[C@@]2([H])C3([H])[H])c([H])c1[H],6,,False
-0.07142857142857142,Clc1c(c(c(nc1N1C(C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C1([H])[H])[H])([H])[H])([H])[H])[H])[H])[H],6,Z1644798241,False
-0.034482758620689655,C(C(C(C(=O)N(c1noc(c1[H])[H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z1669747488,False
-0.03571428571428571,C(C(=C(C(=O)N(C1=[N+](OC(C1([H])[H])([H])[H])[H])[H])[H])c1c(c(c(nc1[H])[H])[H])[H])([H])([H])[H],6,Z4466843644,False
-0.06896551724137931,Fc1c(c(c(c(c1N1C(C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C1([H])[H])[H])([H])[H])([H])[H])[H])[H])[H])[H],6,Z2203262795,False
-0.07142857142857142,O=c1oc(c2c(c(c(nc2[H])[H])[H])[H])nn1C(C(=C(C(O[H])([H])[H])[H])[H])([H])[H],6,PV-004260890822,False
0.0,C(=C(C(C(C(C1(N(C(=O)N(c2c([n+]([O-])c(c(c2[H])[H])[H])[H])C1=O)[H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H],6,Z4929918529,False
-0.07142857142857142,Brc1c(c(c(c(c1N1C(C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C1([H])[H])[H])([H])[H])([H])[H])[H])[H])[H])[H],6,Z1644769572,False
-0.03571428571428571,C(N(C(c1c(c(c(nc1[H])[H])[H])[H])([H])[H])c1nn2nnnc2c(c1[H])[H])([H])([H])[H],6,Z220413692,False
-0.03571428571428571,C(C(C(=C(C(n1nc(c2c(c(c(nc2[H])[H])[H])[H])oc1=O)([H])[H])[H])[H])([H])[H])([H])([H])[H],6,Z3513517119,False
-0.07142857142857142,[H]c1nc(OC([H])([H])C([H])([H])N([H])[H])nc(-c2c([H])nc([H])c([H])c2[H])n1,6,,False
-0.12903225806451613,Clc1c(c(c(c(c1C([N+]1(C(C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C1([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H],6,Z5277225902,False
-0.07142857142857142,C(C(=C(C(C(n1nc(c2c(c(c(nc2[H])[H])[H])[H])oc1=O)([H])[H])([H])[H])[H])[H])([H])([H])[H],6,Z3513517122,False
-0.03225806451612903,Clc1c(c(c(c(c1N1C(C(C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C1([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H],6,Z1644782105,False
-0.03571428571428571,C(=C(C(SC(n1nc(c2c(c(c(nc2[H])[H])[H])[H])oc1=O)([H])[H])([H])[H])[H])([H])[H],6,PV-006137304238,False
-0.0,Clc1c(c(c(c(c1[C@]1(C([C@]([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C1([H])[H])[H])([H])[H])[H])[H])[H])[H])[H],6,Z2221780859,False
-0.10714285714285714,Clc1c(c(c(N2C(C(C([N+](C(c3c(c(c(nc3[H])[H])[H])[H])(C3(C(C(OC(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C2([H])[H])[H])([H])[H])([H])[H])c(Cl)c1[H])[H])[H],6,Z1830000344,False
-0.0,[H]C(=NC([H])([H])c1c([H])c([H])nc([H])c1[H])c1c([H])nc([H])c([H])c1[H],6,,False
-0.034482758620689655,[H]Oc1c([H])c(Cl)c([H])c([H])c1Oc1nn2c([H])c([H])n(-c3c([H])nc([H])c([H])c3[H])c2c1[H],6,,False
-0.14285714285714285,O=C1C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C(N1c1c(c(c(c(c1Cl)[H])[H])[H])[H])([H])[H])[H])([H])[H],6,Z1644817133,False
-0.0,[H]c1nc([H])c(-c2c([H])nc([H])c([H])c2-c2c([H])c(F)c([H])c(F)c2[H])c([H])c1[H],6,,False
-0.06896551724137931,C(C(C(C(=O)N(c1nsc(c1[H])[H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z3363308065,False
-0.06896551724137931,[H]c1nc([H])c(-c2c(C(=O)N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])nc3n2C([H])([H])C([H])([H])S3)c([H])c1[H],6,,False
