combo1,Smiles,h,enamine_id,enamine_searched
-0.904390032230686,C(OC(C(C(C(N(C(=O)c1c(c2c(c(c(OC([H])([H])[H])c(c2nn1)[H])[H])[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5541907585,False
-0.6961929606208571,[H]c1nc([H])c(N([H])Sc2c([H])sc3c([H])c([H])c([H])c([H])c23)c([H])c1[H],6,,False
-0.20647412100674947,[H]c1nc([H])c([C@@]2([H])C(=O)N(c3c([H])n([H])c4c([H])c([H])c([H])c([H])c34)C(=O)C2([H])[H])c([H])c1[H],6,,False
-0.4477479001811736,[H]c1nc([H])n([S@](=O)c2c([H])nc([H])c([H])c2[H])n1,6,,False
-0.35721429756294076,[H]c1nc([H])c(C(=S)C(=O)C(=O)c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],6,,False
-0.9742861373338759,C(OC(C(C(C(N(C(=O)c1nn2C(C([N+](C([H])([H])[H])(C(c2c1[H])([H])[H])[H])([H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5541903834,False
-0.937973654232359,C(C(C(C(C(c1c(c(c(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])o1)[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5539025928,False
-0.82306672495294,C(n1nc(c2c1sc(C(=O)N(C(c1c(c(c(nc1[H])[H])[H])[H])(C1(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])c2[H])[H])([H])([H])[H],6,Z5545298159,False
-1.3389338213216786,C(C(C(C(C(c1c(c(c(C(=O)N([C@](C(C(O[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])o1)[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z4934722841,False
-0.865384549217307,C(c1c(c(C([H])([H])[H])c2c(c(C(=O)N(C(c3c(c(c(nc3[H])[H])[H])[H])(C3(C(C(OC3([H])[H])([H])[H])([H])[H])[H])[H])[H])sc2n1)[H])[H])([H])([H])[H],6,Z5260318941,False
-1.1857986401330827,C(C(C(C(c1nc(c(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])s1)[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5539019417,False
-0.5638802906797269,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(c2c(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])n(c1=O)[H])[H],6,Z5539010031,False
-0.9027889091479837,C(C(C(C(C(c1c(c(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])nn1[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5539016802,False
-0.5405825681281683,C(C(C(C(C(c1nc(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])c(s1)[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5539025195,False
-0.19178357031070123,O=C(c1c(c2c(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])s1)[H])N1C(C([N+](C(C1(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],6,Z2441144672,False
-1.5002306728550594,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(n2C(C(C(C(c2c1[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],6,Z5539016275,False
-0.7603603428435778,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1nc2c(C(OC(C2([H])[H])([H])[H])([H])[H])s1,6,Z5539020208,False
-1.216288302743501,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(c(c2SC(C(C(C(c2c1[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H],6,Z5539020299,False
-0.22994057327554146,c1(c(nc(c(n2nc(c(c2c2c(c(c(c3nc(c(nc23)[H])[H])[H])[H])[H])[H])[H])c1[H])[H])[H])[H],6,PV-006848578581,False
-1.0562213432172392,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1nn2C(C(C(C(Oc2c1[H])([H])[H])([H])[H])([H])[H])([H])[H],6,Z5487832223,False
-1.22127519338725,O=C(C(=C(C1(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H],6,Z5539016381,False
-0.4944692491364727,C([N+]1(C(C(c2c(C1([H])[H])sc(C(=O)N(C(c1c(c(c(nc1[H])[H])[H])[H])(C1(C(C(C(O1)([H])[H])([H])[H])([H])[H])[H])[H])[H])n2)([H])[H])([H])[H])[H])([H])([H])[H],6,Z5045531861,False
-0.6645624501404737,[H]c1nc([H])c(-n2nc([H])c(-c3c([H])c([H])c([H])c4c3c([H])c([H])n4[H])c([H])c2=O)c([H])c1[H],6,,False
