cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.64031,C(C(C(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(c2c(c(nc(Cl)c2F)[H])[H])n1)([H])[H])([H])[H])([H])([H])[H],6,PV-006815274853,False
-5.94546,C(c1c(c(c(C(C(C(c2nc(C3(C(SC3([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])c(c1[H])[H])[H])[H])([H])([H])[H],6,PV-007053623769,False
-5.90472,Fc1c(c(c(C(C(C(c2nc(C3(C(SC3([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])c(c1[H])[H])[H])[H],6,PV-006819765122,False
-5.30702,[H]c1nc([H])c([C@]2(C([H])([H])C([H])([H])c3sc([H])c([H])c3[H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-6.42501,C(c1c(c(c(C([H])([H])[H])c(OC(C(c2nc(C3(C(SC3([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])c1[H])[H])[H])([H])([H])[H],6,PV-006907848772,False
-6.24941,C(C(C(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(C(c2c(C([H])([H])[H])c(c(c(c2C([H])([H])[H])[H])[H])[H])([H])[H])n1)([H])[H])([H])[H])([H])([H])[H],6,PV-006791661055,False
-6.15468,C(c1c(c(C([H])([H])[H])c(c(OC(C(c2nc(C3(C(SC3([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])c1[H])[H])[H])([H])([H])[H],6,PV-007124449519,False
-4.83812,[H]c1nc([H])c([C@@](N([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])c2sc([H])c([H])c2[H])c([H])c1[H],6,,False
-6.05883,C(C(C(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(C(c2c(Cl)c(c(c(c2OC([H])([H])[H])[H])[H])[H])([H])[H])n1)([H])[H])([H])[H])([H])([H])[H],6,PV-006784221027,False
-6.06346,c1(c(nc(c(n2nc(C3(C(SC3([H])[H])([H])[H])[H])nc2C(C(C(c2c(c(c(s2)[H])[H])[H])([H])[H])([H])[H])([H])[H])c1[H])[H])[H])[H],6,PV-006919007263,False
-6.05208,Clc1c(c(c(c(c1OC(c1nc(C2(C(C(OC2([H])[H])([H])[H])([H])[H])[H])nn1c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])[H])[H])[H],6,PV-006732649863,False
-6.25191,c1(c(nc(c(n2nc(C3(C(SC3([H])[H])([H])[H])[H])nc2C(C(C(c2c(sc(c2[H])[H])[H])([H])[H])([H])[H])([H])[H])c1[H])[H])[H])[H],6,PV-007045057924,False
-5.94023,c1(c(nc(c(n2nc(C3(C(SC3([H])[H])([H])[H])[H])nc2C(C(C(n2c(c(c(c2[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])c1[H])[H])[H])[H],6,PV-007094417319,False
-5.94482,O=c1c(c(c(c(C(C(c2nc(C3(C(C(C3([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])n1[H])[H])[H])[H],6,PV-006961613505,False
-5.53225,C(c1c(c(C([H])([H])[H])c(c(OC(c2nc(C3(C(SC3([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c1[H])[H])[H])([H])([H])[H],6,PV-006921632975,False
-4.45036,[H]c1nc([H])c(-c2nnnn2C([H])([H])[C@]2([H])N=C(N([H])[H])OC2([H])[H])c([H])c1[H],6,,False
-5.93044,C(c1c(c(c(Cl)c(OC(c2nc(C3(C(C(OC3([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c1[H])[H])[H])([H])([H])[H],6,PV-007169137514,False
-5.94182,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1Cl,6,,False
-6.14948,Clc1nc(c(c(c1C(C(c1nc(C2(C(C(C2([H])[H])([H])[H])([H])[H])[H])nn1c1c(c(c(nc1[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])[H],6,PV-006926292205,False
-6.10781,c1(c(c(c(OC(C(c2nc(C3(C(C(C3([H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])c(c1[H])[H])[H])[H])[H],6,PV-007020573534,False
-6.30362,c1(c(nc(c(n2nc(C3(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])nc2C(C(C(c2c(nc(c(n2)[H])[H])[H])([H])[H])([H])[H])([H])[H])c1[H])[H])[H])[H],6,PV-007007192598,False
