plip,Smiles,h,enamine_id,enamine_searched
-0.07142857142857142,[H]O[C@@]([H])(c1c([H])nc([H])c([H])c1[H])C1(C#Cc2nc([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H],6,,False
-0.03571428571428571,[H]c1nc([H])c([S@](=O)C([H])([H])c2c([H])nc([H])c(F)c2[H])c([H])c1[H],6,,False
-0.14285714285714285,C(Oc1c(c(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])c(c2c(c(c(c(c12)[H])[H])[H])[H])[H])[H])([H])([H])[H],6,Z2286427232,False
0.0,[H]c1nc([H])c(C(=O)ON([H])c2nc3c([H])c(C(=O)N([H])[H])c([H])c([H])c3n2[H])c([H])c1[H],6,,False
-0.16666666666666666,C(=C(C([C@@](N(C(=O)C(C(N1C(c2c(c(c(c(c2C1=O)[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])[H])([H])[H],6,Z4228949792,False
-0.034482758620689655,[H]c1nc([H])c(-c2c(OS(=O)(=O)N([H])[H])c([H])c([H])c(=O)n2[H])c([H])c1[H],6,,False
-0.17857142857142858,O=C(C(C1(C(C(=O)c2c(c(c(c(c2C1([H])[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])N([C@](C(C(O[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H],6,Z5457749049,False
-0.06451612903225806,c1(c(c(c(C(C([N+]2(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([N+](C2(C(C([N+](C(c3c(c(c(nc3[H])[H])[H])[H])([H])[H])(C(C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])[H])c(c1[H])[H])[H])[H])[H],6,Z1437340540,False
-0.13793103448275862,[H]C([H])=C(C([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])([H])N([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],6,,False
-0.07142857142857142,c1(c(nc(c(c2nnc(N(C(c3c(c(c(o3)[H])[H])[H])([H])[H])[H])o2)c1[H])[H])[H])[H],6,PV-002769603239,False
-0.1,C(OC(OC([H])([H])[H])(C(N(C(=O)C1(c2c(c(c(F)c(c2Cl)[H])[H])[H])C(C1([H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])([H])([H])[H],6,Z5090272962,False
-0.06896551724137931,[H]c1nc([H])c(C(N([H])c2c([H])nc([H])c3c([H])c([H])c([H])c([H])c23)(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-0.13793103448275862,C(OC(OC([H])([H])[H])(C(N(C(=O)c1c(oc(SC(c2c(c(c(c(c2[H])[H])[H])[H])[H])([H])[H])n1)[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])([H])([H])[H],6,Z2774734612,False
-0.034482758620689655,[H]c1nc(S(=O)(=O)C(c2c([H])nc([H])c([H])c2[H])(C([H])([H])[H])C([H])([H])[H])nc(C(F)(F)F)c1[H],6,,False
-0.10714285714285714,C(C(C(C([N+](C(c1c(c(c(c(c1N(C([H])([H])[H])C(C([H])([H])[H])([H])[H])[H])[H])[H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z1670923808,False
-0.1724137931034483,C(OC(OC([H])([H])[H])(C(N(C(=O)c1c(C([H])([H])[H])n(c2c(c(c(c(c2Cl)[H])[H])[H])[H])nn1)[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])([H])([H])[H],6,Z1695838224,False
-0.07142857142857142,[H]c1nc([H])c(N([H])[C@]([H])(c2nc(C(F)(F)F)c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-0.06896551724137931,C(N(C(=O)C(c1noc2c(c(c(c(c12)[H])[H])[H])[H])([H])[H])C(C(=O)[O-])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,PV-002970489202,False
-0.10714285714285714,O=C1c2c(c(c(c(c2C(N1C(C(=O)N1C(C(C(C1(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H],6,Z1140056615,False
-0.10344827586206896,c1(c(c(c(c2nc(C([N+](C(C([N+]3(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(c3c(c(c(nc3[H])[H])[H])[H])[H])([H])[H])([H])[H])c(n2[H])[H])c(c1[H])[H])[H])[H])[H],6,Z5090671090,False
-0.17857142857142858,[H]c1nc([H])c(C2=C([C@@]3([H])N([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],6,,False
