cnnaffinity,Smiles,h,fid
-3.88802,[H]c1nc([H])c(C(=NN([H])C([H])([H])[H])N([H])[H])c([H])c1[H],6,3099
-4.5863,[H]c1nc([H])c(N([H])C(=O)N([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,12718
-5.25945,[H]c1nc([H])c(-c2c([H])c([H])c([H])c(N3C([H])([H])C([H])([H])N(c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],6,28944
-4.46426,[H]c1nc([H])c(OC([H])([H])c2nc([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,35306
-4.45033,[H]O[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])[C@@]([H])(Oc1c([H])nc([H])c([H])c1[H])C([H])([H])[H],6,42856
-5.08813,[H]c1nc([H])c(-c2nc([H])c([H])c(C([H])([H])C([H])([H])Oc3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],6,43275
-0.0,[H]c1nc(-c2nc([H])c(-c3c([H])nc([H])c([H])c3[H])c([H])c2[H])nc(C(F)(F)F)c1[H],6,38658
-4.6556,[H]c1nc([H])c(S(=O)(=O)N(c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])C([H])([H])[H])c([H])c1[H],6,4768
-4.53757,[H]c1nc([H])c([C@]([H])(N([H])C(=O)OS(=O)(=O)N([H])[H])C([H])([H])[H])c([H])c1[H],6,30138
-4.28468,[H]c1nc([H])c(C(=O)N([H])S(=O)(=O)C([H])([H])[H])c([H])c1[H],6,7404
-4.18914,[H]c1nc([H])c(C([H])([H])OC(=O)C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H],6,48932
-4.72727,[H]c1nc([H])c(N([H])S(=O)(=O)OC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,27810
-3.90215,[H]c1nc([H])c(OC(=O)N([H])C([H])([H])C([H])([H])N([H])[H])c([H])c1[H],6,35130
-4.32568,[H]c1nc(N([H])[H])c([H])nc1C(=O)N1C([H])([H])C([H])(c2c([H])nc([H])c([H])c2[H])C1([H])[H],6,44187
-4.34197,[H]c1nc([H])c(C([H])([H])N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,45954
-3.87824,[H]O[C@@]([H])(c1c([H])nc([H])c([H])c1[H])C([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])N([H])[H],6,39172
-4.45888,[H]c1nc([H])c(SC([H])([H])c2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])c([H])c1[H],6,7022
-3.87901,[H]c1nc([H])c(C(=O)C([H])([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,12219
-4.55161,[H]c1nc([H])c(-c2nnc(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])o2)c([H])c1[H],6,38174
-5.09904,[H]c1nc([H])c(-n2c([H])nc(-c3c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c3[H])c2[H])c([H])c1[H],6,29795
-4.07064,[H]c1nc([H])c(N([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,9411
-0.0,[H]c1nc([H])c(Sc2c(C([H])([H])[H])noc2C([H])([H])[H])c([H])c1[H],6,24525
-5.1761,[H]c1nc([H])c(C(=O)N([H])C([H])([H])c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])c([H])c1[H],6,16713
-5.36154,[H]c1nc([H])c(N([H])C(=O)[C@]([H])(c2c([H])nc3c([H])c([H])c([H])c([H])c3c2[H])C([H])([H])[H])c([H])c1[H],6,14783
-4.30941,[H]c1nc([H])c(N([H])C(=O)N([H])C([H])([H])N([H])C([H])([H])[H])c([H])c1[H],6,17218
-4.49338,[H]c1nc([H])c(N([H])C(=O)[C@]([H])(c2c([H])nc([H])c([H])c2[H])C([H])([H])[H])nc1[H],6,8582
