plip,Smiles,h,enamine_id,enamine_searched
-0.0,[H]c1nc([H])c(N([H])N(c2nc([H])c([H])c(C([H])([H])[H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-0.10344827586206896,[H]c1nc([H])c(C([H])([H])[C@@]2(N([H])C([H])([H])c3c([H])c([H])nc([H])c3[H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-0.06896551724137931,C(#Cc1c(c(c(c(c1C(N(S(=O)(=O)c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])[H],6,PV-005728664296,False
-0.14285714285714285,C(OC(=O)C(N(c1c(c(c2oc3c(c(c(c(c3c2c1[H])[H])[H])[H])[H])[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z1470573012,False
-0.17857142857142858,C(OC(=O)C(N(C(=O)C(=C(c1c(Cl)c2c(c(c(c(c2s1)[H])[H])[H])[H])[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z1614390503,False
-0.13793103448275862,[N+](C(c1c(c(c(c(c1C(N(S(=O)(=O)c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],6,PV-003821433487,False
-0.034482758620689655,[H]c1nc([H])c(-c2nnc(C([H])([H])C(=O)N([H])C([H])([H])[H])nn2)c([H])c1[H],6,,False
-0.07142857142857142,[H]c1nc([H])c(C([H])([H])n2nnnc2-c2sc3c([H])c([H])c([H])c([H])c3c2[H])c([H])c1[H],6,,False
-0.06666666666666667,[H]c1nc([H])c(C(=O)OC2(Oc3c([H])c([H])c([H])c(Cl)c3[H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-0.07142857142857142,C(c1nc(c(c(N(C(C(C([H])([H])[H])(C([H])([H])[H])c2c(c(c(nc2[H])[H])[H])[H])([H])[H])[H])c1Cl)[H])[H])([H])([H])[H],6,Z2348399178,False
-0.10714285714285714,[H]c1nc([H])c(-c2c([H])sc([H])c2N([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-0.13793103448275862,C(c1c(c(nc(C([N+](C2(c3c(c(c(nc3[H])[H])[H])[H])C(C2([H])[H])([H])[H])([H])[H])([H])[H])c1Br)[H])[H])([H])([H])[H],6,Z4274186520,False
-0.03571428571428571,[H]c1nc([H])c(-n2c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])c([H])c1[H],6,,False
0.0,[H]C(C1=C(c2c([H])nc([H])c([H])c2[H])C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],6,,False
-0.10344827586206896,[H]C(=C([H])c1c(Oc2c([H])nc([H])c([H])c2[H])c([H])nn1[H])c1c([H])c([H])c([H])c([H])c1[H],6,,False
-0.034482758620689655,O=C(C(OC(=O)C(F)(F)c1c(c(c(nc1[H])[H])[H])[H])([H])[H])c1c(c(c(F)c(c1F)[H])[H])[H],6,PV-003293686327,False
-0.06666666666666667,C(c1c(c(c(N(C([H])([H])[H])C(=O)N(C(C(F)(F)c2c(c(c(nc2[H])[H])[H])[H])([H])[H])[H])c(F)c1[H])[H])[H])([H])([H])[H],6,Z4218275856,False
-0.10714285714285714,C(n1c(N(C(C(F)(F)c2c(c(c(nc2[H])[H])[H])[H])([H])[H])[H])nc2c(c(F)c(c(c12)[H])[H])[H])([H])([H])[H],6,PV-003543332900,False
-0.07142857142857142,C(C1(C(C(c2c(c(c(nc2[H])[H])[H])[H])([N+](C(c2c(c3c(c(c2O[H])[H])OC(O3)([H])[H])[H])([H])[H])(C1([H])[H])[H])[H])([H])[H])[H])([H])([H])[H],6,Z4040083424,False
-0.1,C(C([N+](C(C(F)(F)c1c(c(c(nc1[H])[H])[H])[H])([H])[H])([H])[H])(c1c(c(c(Cl)nc1Cl)[H])[H])[H])([H])([H])[H],6,Z4258629268,False
-0.1,C(N(C(=O)N(C(C(F)(F)c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])c1c(c(c(F)c(c1Cl)[H])[H])[H])([H])([H])[H],6,PV-003279572697,False
-0.0,C(N(C(=O)N(C(C(F)(F)c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])c1c(c(c(Cl)c(c1F)[H])[H])[H])([H])([H])[H],6,PV-003457328100,False
-0.03333333333333333,C(N(C(=O)N(C(C(F)(F)c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])c1c(c(c(Br)c(c1F)[H])[H])[H])([H])([H])[H],6,PV-004524921653,False
-0.03571428571428571,[H]c1nc([H])c([C@]([H])(Br)C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-0.10344827586206896,c1(c(nc(c(c2nc(SC(C([N+]3(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])nn2[H])c1[H])[H])[H])[H],6,Z2041919979,False
-0.13333333333333333,C(c1c(c(c(C(C([H])([H])[H])([N+](C(C(F)(F)c2c(c(c(nc2[H])[H])[H])[H])([H])[H])([H])[H])[H])c(O[H])c1[H])[H])[H])([H])([H])[H],6,Z4258627322,False
-0.034482758620689655,C(c1c(c(I)c(c(c1N1N=C(c2c(c(c(nc2[H])[H])[H])[H])C(C(C1=O)([H])[H])([H])[H])[H])[H])[H])([H])([H])[H],6,PV-005965966162,False
-0.0,C(C(n1nc(c2c(c(c(nc2[H])[H])[H])[H])nc1C([C@]1(C(C(OC1([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,PV-001975007228,False
-0.03571428571428571,[H]c1nc([H])c(-c2c([H])nc([H])n2N=C=S)c([H])c1[H],6,,False
