cnnaffinity,Smiles,h,fid
-4.16045,[H]c1nc([H])c(N=N[C@@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,40151
-4.69722,[H]c1nc([H])c(-c2c([H])c([H])c([H])c([H])c2N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,24649
-4.33281,[H]c1nc(Sc2c([H])nc([H])c([H])c2[H])nc([H])c1[H],6,10825
-4.81666,[H]c1nc([H])c([C@@]([H])(N([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,3627
-4.45971,[H]c1nc([H])c(-c2c([H])c([H])c(N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c1[H],6,3321
-4.26029,[H]OC(=O)C([H])([H])Oc1c([H])nc(-c2c([H])nc([H])c([H])c2[H])c([H])c1[H],6,11657
-4.49612,[H]c1nc([H])c(C([H])([H])S(=O)(=O)C(=O)c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H],6,35746
-4.39261,[H]c1nc([H])c(N([H])[C@]([H])(C(=O)c2sc([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,29528
-4.50065,[H]c1nc([H])c(C([H])([H])N([H])C(=O)[C@]([H])(c2c([H])nc([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,14982
-4.61675,[H]c1nc([H])c(S(=O)(=O)N([H])C(=O)C(=O)N([H])[H])c([H])c1[H],6,1770
-4.17237,[H]c1nc([H])c(N([H])C(=O)OC(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,13463
-4.73792,[H]c1nc([H])c(N(C(=O)N([H])C([H])([H])c2sc([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,44348
-4.13338,[H]c1nc([H])c(O[C@]([H])(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[H])c([H])c1[H],6,17156
-4.67068,[H]c1nc([H])c(C([H])([H])N(c2c([H])c([H])c(OC(F)(F)F)c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,19654
-4.94222,[H]c1nc([H])c(-c2c([H])c([H])nc(C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],6,17476
