cnnaffinity,Smiles,h,enamine_id,enamine_searched
-4.9711,[H]c1nc([H])c(-c2c(C([H])([H])C(=O)c3c([H])c([H])c(F)c([H])c3[H])c([H])nn2[H])c([H])c1[H],6,,False
-5.9269,C(C1(C(C(C(c2nn(c3c(c(=O)n(c(c3[H])[H])[H])[H])c(C(C(C([H])([H])[H])(c3c(c(c(nc3[H])[H])[H])[H])[H])([H])[H])n2)(C(C1([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],6,PV-007174604814,False
-6.12942,C(C1(C(C(C(c2nn(c3c(c(c(nc3[H])[H])[H])[H])c(C(C(C([H])([H])[H])(n3c(c(c(n3)[H])[H])[H])[H])([H])[H])n2)(C(C1([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],6,PV-007083466198,False
-5.85007,C([C@@]1(C([C@]1(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(C(O[H])(C(c2c(c(c(c(c2Cl)[H])[H])[H])[H])([H])[H])[H])n1)[H])([H])[H])[H])([H])([H])[H],6,PV-006928530214,False
-4.98396,[H]c1nc([H])c(C([H])([H])n2c([H])nnc2C([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,,False
-6.2532,C(c1c(c(c(c(c2nn(c3c(c(c(nc3[H])[H])[H])[H])c(C(n3nc(C([H])([H])[H])c(C([H])([H])[H])c3C([H])([H])[H])([H])[H])n2)c1[H])[H])[H])[H])([H])([H])[H],6,PV-007127290313,False
-6.56127,C(c1c(C(c2nc(C3(C(C(C(C([H])([H])[H])(C(C3([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c(nn1C([H])([H])[H])[H])([H])([H])[H],6,PV-006996776693,False
-6.18484,C(c1nn(C(c2nc(c3c(c(F)c(c(c3[H])[H])[H])[H])nn2c2c(c(c(nc2[H])[H])[H])[H])([H])[H])c(C([H])([H])[H])c1C([H])([H])[H])([H])([H])[H],6,PV-006730417692,False
-5.6725,C(C(C([H])([H])[H])(c1nn(c2c(c(c(nc2[H])[H])[H])[H])c(C(C(C([H])([H])[H])(n2c(c(c(c2[H])[H])[H])[H])[H])([H])[H])n1)[H])([H])([H])[H],6,PV-006854111448,False
-6.40531,C(C(C(c1nc(C(C2(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])nn1c1c(c(c(nc1[H])[H])[H])[H])([H])[H])(n1c(c(nc1[H])[H])[H])[H])([H])([H])[H],6,PV-007010776398,False
