combo1,Smiles,h,enamine_id,enamine_searched
-0.6623197512967124,C(OC(C(C(C(N(C(=O)c1nn2C(C(C(Oc2c1C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5541917450,False
-0.7654582402868755,C(OC(C(C(C(N(C(=O)c1c(Cl)n2C(C(C(C(c2n1)([H])[H])([H])[H])([H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5541910098,False
-0.835782149775324,C(OC([C@](N(C(=O)c1nn2C(C(C(C(c2c1C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],6,Z4226865475,False
-0.5665910702982612,C(OC([C@@](N(C(=O)c1nn2C(C(C(C(c2c1C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],6,Z4226804837,False
-0.36805069963428705,C(c1c2C(C(C(C(n2nc1C(=O)N(C1(c2c(c(c(nc2[H])[H])[H])[H])C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z4049567012,False
-0.3712762578849655,C(c1c2C(C(C(C(n2nc1C(=O)N1C(C(C(C([C@]1(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z4011193754,False
-0.8241178962066211,C(=C(C([C@@](N(C(=O)c1c(c2c(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])n1[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])[H])([H])[H],6,Z4228944926,False
-0.2692650286134838,[H]N=[N+]=NSN([H])c1c([H])nc([H])c([H])c1[H],6,,False
-0.6879661560869664,[H]C([H])=C([H])C(=O)N([H])C(=O)Sc1c([H])nc([H])c([H])c1[H],6,,False
-0.6081774035169356,C(c1c2C(C(C(C(n2nc1C(=O)N([C@](C(C(O[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z4226455277,False
-0.9829429807817339,C(c1c(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])oc2c1C(=O)C(C(C2([H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5539007647,False
-0.718956631782268,[H]N=[N+]=Nc1nc(-c2c([H])nc([H])c([H])c2[H])nnc1[H],6,,False
-0.45984094678124515,[H]c1nc([H])c(C([H])([H])c2nnc([H])n2N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-0.7774767199227632,[H]OC(=O)C(=O)C([H])=C(O[H])n1c(=O)c([H])c(-c2c([H])nc([H])c([H])c2[H])n1[H],6,,False
-0.2625685328563441,[H]C([H])=C(c1nnn([H])n1)C([H])([H])c1c([H])nc([H])c([H])c1[H],6,,False
-0.9393075031968348,[H]c1nc([H])c(N([H])c2c([H])nn([H])c2[H])c([H])c1[H],6,,False
-0.4445953634050672,[H]c1nc([H])c([C@]2([H])[C@@]([H])(C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])[C@@]3([H])S[C@]2([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-0.960517982692679,C(OC(C(C(N(C(=O)c1c(c(c(C2(C(C(C([N+]2([H])[H])([H])[H])([H])[H])([H])[H])[H])s1)[H])[H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z4065691587,False
-0.19232330066608336,[H]c1nc(-n2nc(-c3c([H])nc([H])c([H])c3[H])c([H])c([H])c2=O)nc(C(F)(F)F)c1[H],6,,False
-0.24499352838155178,[H]c1nc([H])c(C([H])([H])c2nnc([H])n2N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H],6,,False
-0.21117705400819411,O=C(c1c(c(c(nc1[H])[H])[H])[H])N1C(C(Oc2c(c(F)c(c(c12)[H])[H])[H])([H])[H])([H])[H],6,Z1228035191,False
-1.4792627492617552,C(C(C(c1c(c(c(C(=O)N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c2c(c(c(nc2[H])[H])[H])[H])[H])[H])n1[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],6,Z5539020988,False
-0.6776953290177975,C(C1(C(=C(c2c(c(c(c(c12)[H])[H])[H])[H])[H])C(=O)N(C1(c2c(c(c(nc2[H])[H])[H])[H])C(C(C1([H])[H])([H])[H])([H])[H])[H])[H])([H])([H])[H],6,Z4228845497,False
-1.388890686452098,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(n(C(C2(C(C2([H])[H])([H])[H])[H])([H])[H])nc1[H])[H],6,Z5539017993,False
-0.9955425524040119,O=C(N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H])c1c(oc(C2(C(C(C2([H])[H])([H])[H])([H])[H])[H])n1)[H],6,Z5539013851,False
