plip,Smiles,h,enamine_id,enamine_searched
-0.13333333333333333,[H]c1nc([H])c(N=C(N([H])[H])N([H])N([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],6,,False
-0.10714285714285714,[H]OC(=O)C(=O)C([H])=C(O[H])[C@@](O[H])(C([H])([H])[H])C([H])([H])c1c([H])nc([H])c([H])c1[H],6,,False
-0.07142857142857142,[H]C1=C([H])C(=O)N([C@]([H])(N([H])[H])C([H])([H])c2c([H])nc([H])c([H])c2[H])C1=O,6,,False
-0.03571428571428571,c1(c(nc(c(C2([N+](C(C(n3c(c(nc3[H])[H])[H])([H])[H])([H])[H])([H])[H])C(C2([H])[H])([H])[H])c1[H])[H])[H])[H],6,Z4274186485,False
-0.07142857142857142,C(c1c(c(c(c2c1nc(C(C(C(=O)N1C(C(C(C([C@]1(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])n2[H])[H])[H])[H])([H])([H])[H],6,Z2965405866,False
-0.10714285714285714,O=C(C(C(c1nc2c(c(c(c(c2F)[H])[H])[H])n1[H])([H])[H])([H])[H])N1C(C([N+](C(C1(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],6,Z2441150164,False
-0.06666666666666667,O=C(N(C(c1nc2c(c(c(c(c2F)[H])[H])[H])n1[H])([H])[H])[H])N1C(C(C(C([C@]1(c1c(c(c(nc1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],6,Z3869632567,False
-0.07142857142857142,C(c1c(c(c(c2c1nc(C(C(C(=O)N(C1(c3c(c(c(nc3[H])[H])[H])[H])C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])n2[H])[H])[H])[H])([H])([H])[H],6,Z4049572791,False
-0.034482758620689655,O=C(N(c1c(c2c(c(n1)[H])n(nc2[H])[H])[H])[H])c1c(c(c(nc1[H])[H])[H])[H],6,PV-003040699455,False
-0.17857142857142858,O=C(C(N(c1nc2c(c(c(c(c2s1)[H])[H])[H])[H])[H])([H])[H])N(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])(c1c(c(c(nc1[H])[H])[H])[H])[H])[H],6,Z5539023565,False
-0.06666666666666667,[H]c1nc([H])c(C2(c3nnc(-c4nc5c([H])c(C(=O)N([H])[H])c([H])c([H])c5n4[H])o3)C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-0.1724137931034483,C(c1c(C(C(=O)N(C(C(c2c(c(c(nc2[H])[H])[H])[H])([N+]2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])([H])[H])c2c(c(c(c(c2n1[H])[H])[H])[H])[H])([H])([H])[H],6,Z340043666,False
-0.2413793103448276,C(c1c(C([N+](C(C(c2c(c(c(nc2[H])[H])[H])[H])([N+]2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])n2c(c(c(c(c2n1)[H])[H])[H])[H])([H])([H])[H],6,Z1381686899,False
-0.07142857142857142,C(c1c(C(C([H])([H])[H])([N+](C(C(c2c(c(c(nc2[H])[H])[H])[H])([N+]2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])[H])c2c(c(c(c(c2o1)[H])[H])[H])[H])([H])([H])[H],6,PV-005863288742,False
-0.13793103448275862,C(c1c(C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])c2c(c(c(F)c(c2n1[H])[H])[H])[H])([H])([H])[H],6,Z2790623179,False
-0.16129032258064516,C(c1c(C(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])c2c(c(c(c(F)c2n1[H])[H])[H])[H])([H])([H])[H],6,Z4171403150,False
-0.034482758620689655,C(c1c(C(O[H])(C([N+](C(c2c(c(c(nc2[H])[H])[H])[H])(C2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])[H])c2c(c(c(c(c2n1[H])[H])[H])[H])[H])([H])([H])[H],6,Z3362841026,False
-0.10344827586206896,C(n1c(C#N)c(C([N+](C(C(c2c(c(c(nc2[H])[H])[H])[H])([N+]2(C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])c2c(c(c(c(c12)[H])[H])[H])[H])([H])([H])[H],6,Z3800428858,False
-0.07142857142857142,C(Oc1c(c(c(c2nc(c(C(=O)N3C(C(C(C3(c3c(c(c(nc3[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])s2)[H])c(c1OC([H])([H])[H])[H])[H])[H])([H])([H])[H],6,Z1881657286,False
