cnnaffinity,Smiles,h,fid
-4.87973,[H]c1nc([H])c(-c2c([H])c([H])nc(C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],6,27676
-4.94073,[H]c1nc([H])c(C2([H])C([H])([H])C([H])([H])N(C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,2436
-4.67315,[H]c1nc([H])c(C(=O)N([H])C([H])([H])C([H])([H])N2C(=O)c3c([H])c([H])c([H])c([H])c3C2=O)c([H])c1[H],6,30213
-0.0,[H]c1nc([H])c(-c2nc(-c3oc4c([H])c([H])c([H])c([H])c4c3[H])sc2[H])c([H])c1[H],6,15352
-5.00762,[H]c1nc([H])c(N([H])C(=O)N([H])C([H])([H])N2C(=O)c3c([H])c([H])c([H])c([H])c3C2=O)c([H])c1[H],6,30218
-5.4087,[H]c1nc([H])c(-c2c([H])c([H])c(-c3c([H])nc([H])c4c([H])c([H])c([H])c([H])c34)c([H])c2[H])c([H])c1[H],6,44921
-4.93881,[H]c1nc([H])c(C(=O)N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,46647
-4.52812,[H]OP(=O)(O[H])C(F)(F)c1nc(-c2c([H])nc([H])c([H])c2[H])c([H])s1,6,30352
-5.26775,[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])(c3c([H])c([H])c(F)c([H])c3F)C([H])([H])C2([H])[H])c([H])c1[H],6,19535
-5.55922,[H]c1nc([H])c(-n2nnc(-c3c([H])c([H])c([H])c4nc([H])c([H])c([H])c34)c2[H])c([H])c1[H],6,43464
-5.23555,[H]c1nc([H])c(-c2c([H])nn(-c3c([H])c([H])c([H])c4c3c([H])c([H])n4[H])c2[H])c([H])c1[H],6,48261
-5.10724,[H]c1nc([H])c(C#CC([H])([H])N2C(=O)c3c([H])c([H])c([H])c([H])c3C2=O)c([H])c1[H],6,30224
